===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-12-09 18:08:04
count workspace : d:\Program Files\xampp\htdocs\home\se_project_team3\Clicknext\application\views
total files : 108
total code lines : 17270
total comment lines : 6181
total blank lines : 1473

Case_Report\PHPMailer-master\src\Exception.php, code is 9, comment is 28, blank is 2.
Case_Report\PHPMailer-master\src\OAuth.php, code is 45, comment is 79, blank is 14.
Case_Report\PHPMailer-master\src\PHPMailer.php, code is 2385, comment is 1706, blank is 336.
Case_Report\PHPMailer-master\src\POP3.php, code is 164, comment is 215, blank is 46.
Case_Report\PHPMailer-master\src\SMTP.php, code is 647, comment is 555, blank is 120.
Case_Report\PHPMailer-master\UPGRADING.md, code is 38, comment is 3, blank is 13.
Case_Report\PHPMailer-master\VERSION, code is 1, comment is 0, blank is 0.
Case_Report\v_compare_count_case_type.php, code is 1135, comment is 245, blank is 156.
Case_Report\v_compare_count_data_source.php, code is 1136, comment is 246, blank is 157.
Case_Report\v_create_report.php, code is 1184, comment is 221, blank is 28.
Case_Report\v_dashboard.php, code is 900, comment is 234, blank is 26.
Case_Report\v_detail_report.php, code is 338, comment is 32, blank is 5.
Case_Report\v_edit_report.php, code is 1094, comment is 116, blank is 31.
Case_Report\v_notifications.php, code is 240, comment is 9, blank is 0.
Case_Report\v_report.php, code is 656, comment is 174, blank is 31.
Case_Report\v_report_export.php, code is 1130, comment is 396, blank is 48.
errors\cli\error_404.php, code is 7, comment is 0, blank is 1.
errors\cli\error_db.php, code is 7, comment is 0, blank is 1.
errors\cli\error_exception.php, code is 16, comment is 0, blank is 5.
errors\cli\error_general.php, code is 7, comment is 0, blank is 1.
errors\cli\error_php.php, code is 16, comment is 0, blank is 5.
errors\cli\index.html, code is 9, comment is 0, blank is 2.
errors\html\error_404.php, code is 57, comment is 0, blank is 7.
errors\html\error_db.php, code is 57, comment is 0, blank is 7.
errors\html\error_exception.php, code is 22, comment is 0, blank is 10.
errors\html\error_general.php, code is 57, comment is 0, blank is 7.
errors\html\error_php.php, code is 22, comment is 0, blank is 11.
errors\html\index.html, code is 9, comment is 0, blank is 2.
errors\index.html, code is 9, comment is 0, blank is 2.
Master_data\v_manage_case_report_type.php, code is 711, comment is 303, blank is 42.
Master_data\v_manage_data_source.php, code is 707, comment is 306, blank is 43.
Master_data\v_manage_external_department.php, code is 714, comment is 304, blank is 42.
Master_data\v_manage_internal_department.php, code is 714, comment is 311, blank is 43.
People\v_people_check_verify.php, code is 34, comment is 8, blank is 1.
People\v_people_form.php, code is 84, comment is 8, blank is 0.
Template_Custom\v_footer.php, code is 363, comment is 95, blank is 8.
Template_Custom\v_footer_people.php, code is 60, comment is 8, blank is 4.
Template_Custom\v_header.php, code is 90, comment is 8, blank is 10.
Template_Custom\v_header_people.php, code is 110, comment is 8, blank is 0.
Template_Custom\v_topbar.php, code is 144, comment is 8, blank is 1.
v_index.php, code is 206, comment is 33, blank is 4.
v_login.php, code is 196, comment is 33, blank is 4.
v_profile_setting.php, code is 51, comment is 8, blank is 0.
v_reset_password.php, code is 107, comment is 28, blank is 4.
===============================================================================
